,drug_name,side_effects,brand_names,alcohol,drug_link
0,atorvastatin,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, atorvastatin can cause a condition that results in the breakdown of skeletal muscle tissue, potentially leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine. Atorvastatin may cause serious side effects. Call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back trouble lifting your arms, trouble climbing or standing; liver problems - upper stomach pain, weakness, tired feeling, loss of appetite, dark urine, jaundice (yellowing of the skin or eyes); or kidney problems - little or no urinating, swelling in your feet or ankles, feeling tired or short of breath. Common side effects of atorvastatin may include: joint pain; stuffy nose; sore throat; diarrhea; or pain in your arms or legs.",Lipitor,X,https://www.drugs.com/atorvastatin.html
1,levothyroxine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Levothyroxine may cause serious side effects. Call your doctor at once if you have: fast or irregular heartbeats; chest pain, pain spreading to your jaw or shoulder; shortness of breath; fever, hot flashes , sweating; tremors, or if you feel unusually cold; weakness, tiredness, sleep problems ( insomnia ); memory problems, feeling depressed or irritable; headache, leg cramps, muscle aches; feeling nervous or irritable; dryness of your skin or hair, hair loss ; irregular menstrual periods; or vomiting , diarrhea , appetite changes, weight changes. Certain side effects may be more likely in older adults. Common side effects of levothyroxine may include: chest pain, irregular heartbeats; shortness of breath; headache, leg cramps, muscle pain or weakness; tremors, feeling nervous or irritable, trouble sleeping; increased appetite; feeling hot; weight loss ; changes in your menstrual periods; diarrhea; or skin rash , partial hair loss.","Euthyrox, Levoxyl, Synthroid, Thyquidity, Tirosint, Tirosint-Sol, Unithroid",,https://www.drugs.com/levothyroxine.html
2,metformin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some people using this medicine develop lactic acidosis, which can be fatal. Get emergency medical help if you have even mild symptoms such as: unusual muscle pain; feeling cold; trouble breathing; feeling dizzy, light-headed, tired, or very weak; stomach pain, vomiting ; or slow or irregular heart rate. Common metformin side effects may include: low blood sugar; nausea, upset stomach ; or diarrhea .","Fortamet, Glucophage, Glucophage XR",X,https://www.drugs.com/metformin.html
3,lisinopril,"hives; severe stomach pain, difficult breathing; swelling of your face, lips, tongue, or throat. You may be more likely to have an allergic reaction if you are African-American. Lisinopril may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; fever, sore throat; high potassium - nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or >liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of lisinopril may include: headache; dizziness; cough; or chest pain.","Prinivil, Qbrelis, Zestril",,https://www.drugs.com/lisinopril.html
4,amlodipine,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, when you first start taking amlodipine, your angina may get worse or you could have a heart attack. Seek emergency medical attention or call your doctor right away if you have symptoms such as: chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating. Amlodipine may cause serious side effects. Call your doctor at once if you have: pounding heartbeats or fluttering in your chest; worsening chest pain; swelling in your feet or ankles; severe drowsiness; or a light-headed feeling, like you might pass out. Common side effects of amlodipine may include: dizziness; drowsiness; feeling tired; stomach pain; nausea; flushing (warmth, redness, or tingly feeling).","Katerzia, Norvasc",,https://www.drugs.com/amlodipine.html
5,metoprolol,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Metoprolol may cause serious side effects. Call your doctor at once if you have: very slow heartbeats; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; or cold feeling in your hands and feet. Common side effects of metoprolol may include: dizziness ; tired feeling; depression ; confusion; memory problems; nightmares ; trouble sleeping; diarrhea; mild itching or rash.","Kapspargo Sprinkle, Lopressor, Toprol-XL",X,https://www.drugs.com/metoprolol.html
6,omeprazole,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; new or unusual pain in your wrist, thigh, hip, or back; seizure (convulsions); kidney problems - fever, rash, nausea, loss of appetite, joint pain, urinating less than usual, blood in your urine, weight gain; low magnesium - dizziness , irregular heartbeats, feeling jittery, muscle cramps, muscle spasms, cough or choking feeling; or new or worsening symptoms of lupus - joint pain, and a skin rash on your cheeks or arms that worsens in sunlight. Taking omeprazole long-term may cause you to develop stomach growths called fundic gland polyps. Talk with your doctor about this risk. If you use this medicine for longer than 3 years, you could develop a vitamin B-12 deficiency. Talk to your doctor about how to manage this condition if you develop it. Common omeprazole side effects may include: cold symptoms such as stuffy nose, sneezing, sore throat (especially in children); fever (especially in children); stomach pain, gas; nausea, vomiting, diarrhea; or headache .","PriLOSEC, PriLOSEC OTC",,https://www.drugs.com/omeprazole.html
7,losartan,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. In extremely rare cases, losartan can cause a condition that results in the breakdown of skeletal muscle tissue, leading to potential kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine. Call your doctor at once if you have: a feeling that you might pass out; pain or burning when you urinate; pale skin, feeling light-headed or short of breath, rapid heart rate, trouble concentrating; wheezing, chest pain; drowsiness, confusion, mood changes, increased thirst, loss of appetite, nausea and vomiting; swelling, weight gain, feeling short of breath, urinating less than usual or not at all; or high potassium (slow heart rate, weak pulse, muscle weakness, tingly feeling). Common losartan side effects may include: cold or flu symptoms such as stuffy nose, sneezing, sore throat, fever; dry cough; muscle cramps; pain in your legs or back; stomach pain, diarrhea; headache, dizziness; tired feeling; or sleep problems (insomnia).",Cozaar,,https://www.drugs.com/losartan.html
8,gabapentin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash , fever, swollen glands, muscle aches, severe weakness, unusual bruising, upper stomach pain, or yellowing of your skin or eyes. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), depressed, or have thoughts about suicide or hurting yourself. Gabapentin may cause serious side effects. Call your doctor at once if you have: weak or shallow breathing; blue-colored skin, lips, fingers, and toes; confusion, extreme drowsiness or weakness; problems with balance or muscle movement; unusual or involuntary eye movements; or increased seizures. Gabapentin can cause life-threatening breathing problems. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Breathing problems may be more likely in older adults or in people with COPD. Some side effects are more likely in children taking gabapentin. Contact your doctor if the child taking this medicine has any of the following side effects: changes in behavior; memory problems; trouble concentrating; or acting restless, hostile, or aggressive. Common side effects of gabapentin may include: fever, chills, sore throat, body aches, unusual tiredness; jerky movements; headache; double vision; swelling of your legs and feet; tremors; trouble speaking; dizziness, drowsiness, tiredness; problems with balance or eye movements; or nausea, vomiting.","Gralise, Neurontin, Gabarone",X,https://www.drugs.com/gabapentin.html
9,hydrochlorothiazide,"a light-headed feeling; eye pain , vision problems; jaundice (yellowing of the skin or eyes); pale skin, easy bruising, unusual bleeding (nose, mouth, vagina, or rectum); shortness of breath, wheezing, cough with foamy mucus, chest pain; dehydration symptoms - feeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin ; or signs of an electrolyte imbalance - increased thirst or urination, confusion, vomiting, constipation , muscle pain, leg cramps, bone pain, lack of energy, irregular heartbeats, tingly feeling. Common hydrochlorothiazide side effects may include: weakness; feeling like you might pass out; severe pain in your upper stomach spreading to your back, nausea and vomiting ; fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; or electrolyte imbalance.","Esidrix, Microzide",X,https://www.drugs.com/hctz.html
